account_code,location,dimension,power_rating,brand,serial_number,purchase_year
171.03.03.01.01,Lantai 1 / Operator Podcast,1,220,DAIKIN,FTC25NV14 E526075,2023
171.03.03.01.02,Lantai 1/ Ruang Podcast,1,220,DAIKIN,FTC25NV14 E563183,2023
171.03.03.01.03,Lantai 1 / Ruang Rapat,1,220,DAIKIN,FTC25NV14 E526695,2023
171.03.03.01.04,Lantai 1 / Ruang Pengurus,1,220,DAIKIN,FTC25NV14 E563058,2023
171.03.03.01.05,Lantai 2 / Ruang Pengurus 1,1,220,DAIKIN,FTC25NV14 E669789,2023
171.03.03.01.06,Lantai 2 / Ruang Kary Office,1,220,DAIKIN,FTC25NV14 E672610,2023
171.03.03.01.07,Lantai 2 / Ruang Pengurus 2,1,220,DAIKIN,FTC25NV14 E673118,2023
171.03.03.01.08,Lantai 2 / Ruang Pengawas,1,220,DAIKIN,FTC25NV14 E679564,2023
171.03.03.01.09,Lantai 3 / Ruang Tunggu,1,220,DAIKIN,FTC25NV14 K026858,2024
171.03.03.01.10,Lantai 3 / Ruang Mengajar,1,220,DAIKIN,FTC25NV14 K037674,2024
171.03.03.01.11,Lantai 3 / Ruang Aula YPIK 1,1,220,DAIKIN,FTC25NV14 K038524,2024
171.03.03.01.12,Lantai 3 / Ruang Aula YPIK 2,1,220,DAIKIN,FTC25NV14 K034829,2024
171.03.03.01.13,Lantai 3 / Ruang Aula YPIK 3,1,220,DAIKIN,FTC25NV14 K034913,2024
171.03.01.01.01,Lantai 1 / Ruang Kepala Sekolah,1,220,Daikin,FTP25AV14 K163833,2024
171.03.01.01.02,Lantai 1 / Ruang PSB,1,220,Daikin,FTP25AV14 K18580,2023
171.03.01.01.03,Lantai 1 / Ruang PSB,1,220,Daikin,FTC15NV14 E083125,2022
171.03.01.01.04,Lantai 1 / Ruang Guru,1,220,Daikin,FTP25AV149 K308066,2023
171.03.01.01.05,Lantai 1 / Ruang Kelompok Bermain,1,220,Daikin,FTP25AV14 K121424,2022
171.03.01.01.06,Lantai 2 / Ruang Ekskul,1,280,Sharp,91037694 H-A9SAY,2023
171.03.01.01.07,Lantai 2 / Ruang Ekskul,1,280,Sharp,91037691 H-A9SAY,2023
171.03.01.01.08,Lantai 2 / Kelas B Sulaiman,1,220,Daikin,FTP25AV14 K072720,2024
171.03.01.01.09,Lantai 2 / Kelas B Sulaiman,1,220,Daikin,FTP25AV14 K071263,2023
171.03.01.01.10,Lantai 2 / Kelas B Muhammad,1,220,Daikin,FTP25AV14 K105751,2022
171.03.01.01.11,Lantai 2 / Kelas B Muhammad,1,220,Daikin,FTP25AV14 K166967,2024
171.03.01.01.12,Lantai 2 / Kelas A Ismail,1,280,LG,SN12LGS2,2020
171.03.01.01.13,Lantai 2 / Kelas A Ismail,1,220,Daikin,FTP25AV14 K177839,2022
171.03.01.01.14,Lantai 2 / Kelas A Ibrahim,1,220,Daikin,FTP25AV14 K115831,2022
171.03.01.01.15,Lantai 2 / Kelas A Ibrahim,1,220,Daikin,FTP25AV14 K039173,2023
171.03.02.01.01,Lantai 1 / UKS,1,220,SHARP,51002133,2019
171.03.02.01.02,Lantai 1 / UKS,1,220,SHARP,51016010,2019
171.03.02.01.03,Lantai 1 / Ruang Komputer,1,220,SHARP,51017062,2019
171.03.02.01.04,Lantai 1 / Ruang Komputer,1,220,DAIKIN,FTP25AV14 K013378,2023
171.03.02.01.05,Lantai 1 / Ruang Komputer,1,220,DAIKIN,FTC15NV14 E109556,2023
171.03.02.01.06,Lantai 1 / Ruang Qiroati,1,220,PANASONIC,4823564151,2019
171.03.02.01.07,Lantai 1 / Ruang Qiroati,1,220,DAIKIN,FTP25AV14 K093742,2021
171.03.02.01.08,Lantai 1 / Ruang Usman,1,220,DAIKIN,FTP25AV14 K120332,2022
171.03.02.01.09,Lantai 1 / Ruang Usman,1,220,SHARP,41136678,2019
171.03.02.01.10,Lantai 1 / Ruang Umar,1,220,LG,SN05LPBX-R2304AHSPO2406,2019
171.03.02.01.11,Lantai 1 / Ruang Umar,1,220,DAIKIN,FTC15NV14 E109610,2019
171.03.02.01.12,Lantai 1 / Ruang Abu,1,220,DAIKIN,FTC15NV14 E351050,2021
171.03.02.01.13,Lantai 1 / Ruang Abu,1,220,PANASONIC,6633686480,2018
171.03.02.01.14,Lantai 1 / Ruang Tata Usaha,1,220,DAIKIN,FTC15NV14 E060103,2020
171.03.02.01.15,Lantai 1 / Ruang Wakil Kepala Sekolah,1,220,DAIKIN,FTC15NV14 E018055,2020
171.03.02.01.16,Lantai 1 / Ruang Tamu,1,220,PANASONIC,CS-PC9NKJ 4823145688,2018
171.03.02.01.17,Lantai 1 / Ruang Kepala Sekolah,1.5,220,PANASONIC,CS-PC12NKP 2470917232,2018
171.03.02.01.18,Lantai 1 / Ruang PSB,1,220,DAIKIN,FTP25AV14 K019282,2023
