No,Schema,Table,Module,Column Name,Data Type,Nullable,Default,Key,Extra
1,soy_ypik,air_conditioner_details,Asset & Maintenance,asset_id,char(36),NO,,PK; FK -> assets.id,
2,soy_ypik,air_conditioner_details,Asset & Maintenance,brand,varchar(255),NO,,,
3,soy_ypik,air_conditioner_details,Asset & Maintenance,dimension,varchar(100),NO,,,
4,soy_ypik,air_conditioner_details,Asset & Maintenance,power_rating,varchar(100),NO,,,
5,soy_ypik,air_conditioner_details,Asset & Maintenance,created_at,timestamp,YES,NULL,,
6,soy_ypik,air_conditioner_details,Asset & Maintenance,updated_at,timestamp,YES,NULL,,
7,soy_ypik,announcement_logs,Announcement & Notification,id,bigint(20) UNSIGNED,NO,,PK,auto_increment
8,soy_ypik,announcement_logs,Announcement & Notification,announcement_id,bigint(20) UNSIGNED,NO,,IDX; FK -> announcements.id,
9,soy_ypik,announcement_logs,Announcement & Notification,channel,varchar(255),NO,,,
10,soy_ypik,announcement_logs,Announcement & Notification,target,varchar(255),NO,,,
11,soy_ypik,announcement_logs,Announcement & Notification,status,varchar(255),NO,,,
12,soy_ypik,announcement_logs,Announcement & Notification,response,text,YES,NULL,,
13,soy_ypik,announcement_logs,Announcement & Notification,track_token,varchar(255),YES,NULL,UK,
14,soy_ypik,announcement_logs,Announcement & Notification,opened_at,timestamp,YES,NULL,,
15,soy_ypik,announcement_logs,Announcement & Notification,open_count,int(10) UNSIGNED,NO,0,,
16,soy_ypik,announcement_logs,Announcement & Notification,sent_at,timestamp,YES,NULL,,
17,soy_ypik,announcement_logs,Announcement & Notification,created_at,timestamp,YES,NULL,,
18,soy_ypik,announcement_logs,Announcement & Notification,updated_at,timestamp,YES,NULL,,
19,soy_ypik,announcements,Announcement & Notification,id,bigint(20) UNSIGNED,NO,,PK,auto_increment
20,soy_ypik,announcements,Announcement & Notification,title,varchar(255),NO,,,
21,soy_ypik,announcements,Announcement & Notification,message,text,NO,,,
22,soy_ypik,announcements,Announcement & Notification,attachment_path,varchar(255),YES,NULL,,
23,soy_ypik,announcements,Announcement & Notification,created_by,char(36),NO,,IDX; FK -> users.id,
24,soy_ypik,announcements,Announcement & Notification,created_at,timestamp,YES,NULL,,
25,soy_ypik,announcements,Announcement & Notification,updated_at,timestamp,YES,NULL,,
26,soy_ypik,asset_import_batches,Asset & Maintenance,id,char(36),NO,,PK,
27,soy_ypik,asset_import_batches,Asset & Maintenance,category,"enum('AC','COMPUTER','OTHER')",NO,,IDX:asset_import_batches_category_source_type_index,
28,soy_ypik,asset_import_batches,Asset & Maintenance,source_type,"enum('excel','csv')",NO,,IDX:asset_import_batches_category_source_type_index,
29,soy_ypik,asset_import_batches,Asset & Maintenance,source_file_name,varchar(255),NO,,,
30,soy_ypik,asset_import_batches,Asset & Maintenance,processed_rows,int(10) UNSIGNED,NO,0,,
31,soy_ypik,asset_import_batches,Asset & Maintenance,imported_rows,int(10) UNSIGNED,NO,0,,
32,soy_ypik,asset_import_batches,Asset & Maintenance,sheet_count,int(10) UNSIGNED,NO,0,,
33,soy_ypik,asset_import_batches,Asset & Maintenance,sheet_names,json,YES,NULL,,
34,soy_ypik,asset_import_batches,Asset & Maintenance,metadata,json,YES,NULL,,
35,soy_ypik,asset_import_batches,Asset & Maintenance,imported_by,char(36),YES,NULL,IDX; FK -> users.id,
36,soy_ypik,asset_import_batches,Asset & Maintenance,created_at,timestamp,YES,NULL,IDX,
37,soy_ypik,asset_import_batches,Asset & Maintenance,updated_at,timestamp,YES,NULL,,
38,soy_ypik,assets,Asset & Maintenance,id,char(36),NO,,PK,
39,soy_ypik,assets,Asset & Maintenance,category,"enum('AC','OTHER','COMPUTER')",NO,,,
40,soy_ypik,assets,Asset & Maintenance,account_code,varchar(255),NO,,UK,
41,soy_ypik,assets,Asset & Maintenance,serial_number,varchar(255),YES,NULL,UK,
42,soy_ypik,assets,Asset & Maintenance,location,varchar(255),NO,,,
43,soy_ypik,assets,Asset & Maintenance,purchase_year,varchar(255),YES,NULL,,
44,soy_ypik,assets,Asset & Maintenance,purchase_price,"decimal(18,2)",YES,NULL,IDX,
45,soy_ypik,assets,Asset & Maintenance,qr_code_path,varchar(255),YES,NULL,,
46,soy_ypik,assets,Asset & Maintenance,last_import_file_name,varchar(255),YES,NULL,IDX,
